Title,Price,Release Date,Tags,Description,Reviews,URL
Counter-Strike 2,Free,"21 Aug, 2012","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","- 82% of the 73,378 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1
Steam Deck,Free,"17 Jan, 2025",N/A,N/A,N/A,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1
FINAL FANTASY VII REBIRTH,Free,"23 Jan, 2025","['RPG', 'Action', 'Adventure', 'Singleplayer', 'JRPG', 'Action RPG', 'Open World', 'Action-Adventure', 'Party-Based RPG', 'Spectacle fighter', 'Story Rich', 'Third Person', 'Cinematic', 'Fantasy', 'Realistic', 'Atmospheric', 'Drama', 'Emotional', 'Magic', 'Anime']","The Unknown Journey Continues... After escaping from the dystopian city of Midgar, Cloud and his friends set out on a journey across the planet. New adventures await in a vibrant and vast world in this standalone entry to the FFVII remake trilogy!",- 81% of the 770 user reviews for this game are positive.,https://store.steampowered.com/app/2909400/FINAL_FANTASY_VII_REBIRTH/?snr=1_7_7_7000_150_1
Tokyo Xtreme Racer,Free,"22 Jan, 2025","['Racing', 'Driving', '3D', 'Automobile Sim', 'Controller', 'Singleplayer', 'Early Access', 'Vehicular Combat', '3D Platformer', 'Combat Racing', 'Open World', 'Arcade']","""Tokyo Xtreme Racer"" is a racing game set in a blocked-off future Tokyo, where players aim to be the fastest by driving their best cars on the highways that weave through the city.","- 96% of the 1,292 user reviews for this game are positive.",https://store.steampowered.com/app/2634950/Tokyo_Xtreme_Racer/?snr=1_7_7_7000_150_1
PUBG: BATTLEGROUNDS,Free,"21 Dec, 2017","['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer.","- 69% of the 17,243 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
Marvel Rivals,Free,"5 Dec, 2024","['Free to Play', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Superhero', 'Action', 'PvP', 'Team-Based', 'Competitive', 'Shooter', '3D', 'Strategy', 'Co-op', 'Online Co-Op', 'Sci-fi', 'Third Person', 'Sexual Content', 'MOBA', 'FPS', 'Hentai']","Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!","- 81% of the 79,855 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_7000_150_1
EA SPORTS FC™ 25,Free,"26 Sep, 2024","['Sports', 'Simulation', 'Football (Soccer)', 'Controller', 'Multiplayer', 'eSports', 'Competitive', 'Local Co-Op', 'Family Friendly', 'Online Co-Op', 'Local Multiplayer', 'Singleplayer', 'PvP', 'Modern', 'Realistic', 'Co-op', 'Soundtrack', 'Split Screen', 'Free to Play', 'LGBTQ+']","EA SPORTS FC™ 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.","- 48% of the 8,843 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/?snr=1_7_7_7000_150_1
Red Dead Redemption 2,Free,"5 Dec, 2019","['Open World', 'Story Rich', 'Western', 'Adventure', 'Multiplayer', 'Action', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Beautiful', 'Mature', 'Third-Person Shooter', 'Great Soundtrack', 'Third Person', 'Gore', 'Sandbox', 'First-Person', 'FPS']","Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","- 94% of the 13,806 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_7000_150_1
NINJA GAIDEN 2 Black,Free,"23 Jan, 2025","['Action', 'Martial Arts', 'Adventure', 'Action-Adventure', 'Third Person', 'Swordplay', 'Ninja', 'Gore', 'Violent', 'Souls-like', 'Realistic', 'Singleplayer', 'Combat', 'Hack and Slash', 'Spectacle fighter', 'Character Action Game', 'Difficult']","Using Unreal Engine 5 to significantly enhance graphic expression, this is the definitive version of ""NINJA GAIDEN 2,"" featuring additional playable characters and enhanced battle support functions.",- 79% of the 139 user reviews for this game are positive.,https://store.steampowered.com/app/3287520/NINJA_GAIDEN_2_Black/?snr=1_7_7_7000_150_1
Rust,Free,"8 Feb, 2018","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.","- 88% of the 19,327 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1
